source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,n_sources,n_primary_sources,n_references,references_stripped
COMPLEX:P0CG47_Q15819,Q96T88,UBB_UBE2V2,UHRF1,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:O14933_P62979,Q96T88,RPS27A_UBE2L6,UHRF1,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_P62253,Q96T88,UBB_UBE2G1,UHRF1,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62987_Q96LR5,Q96T88,UBA52_UBE2E2,UHRF1,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62987_Q5VVX9,Q96T88,UBA52_UBE2U,UHRF1,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62979_Q7Z7E8,Q96T88,RPS27A_UBE2Q1,UHRF1,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62987_P68036,Q96T88,UBA52_UBE2L3,UHRF1,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_Q712K3,Q96T88,UBB_UBE2R2,UHRF1,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P61077_P63279,Q96T88,UBE2D3_UBE2I,UHRF1,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62837_P62979,Q96T88,RPS27A_UBE2D2,UHRF1,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P63146_P63279,Q96T88,UBE2B_UBE2I,UHRF1,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62979_Q5VVX9,Q96T88,RPS27A_UBE2U,UHRF1,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P49459_P62987,Q96T88,UBA52_UBE2A,UHRF1,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62987_Q9Y385,Q96T88,UBA52_UBE2J1,UHRF1,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62987_Q8N2K1,Q96T88,UBA52_UBE2J2,UHRF1,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_Q8N2K1,Q96T88,UBB_UBE2J2,UHRF1,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
